"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Bucking yak teleport tok...",97800,97800,97800,97800,97800,97800,97800,97800
"Bucky token",2200000,2300000,2400000,2400000,2500000,3100000,3100000,3100000
"Buddy pet token",1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
"Bull (unchecked)",9578,9578,9282,9282,9218,9112,9112,9112
"Bull ant pouch",774,743,743,743,743,743,743,743
"Bull horns",922,922,921,921,921,896,896,896
"Bullseye lantern",488,488,488,488,488,488,488,488
"Bunyip pouch",2120,2118,2153,2153,2153,2194,2194,2194
"Burnt bones",1119,1119,1119,1119,1119,1119,1119,1119
"Butterfly flower seed",2802,2802,2802,2802,2802,2802,2802,2802
"Butterfly jar",296,301,301,301,301,301,301,301
"Butterfly net",247,247,245,245,245,245,245,245
"Button mushroom",5777,5777,5777,5777,5918,5918,5918,5918
"Cabbage",590,590,605,605,622,635,635,635
"Cabbage seed",208,208,209,209,211,213,213,213
"Cabbages (10)",8226,8226,8226,8226,8226,8226,8226,8226
"Cactus seed",954,914,889,889,889,857,857,857
"Cactus spine",4317,4317,4395,4395,4420,4143,4143,4143
"Cadantine incense sticks...",6586,6586,6586,6586,6586,6586,6586,6586
"Cadantine potion (unf)",6940,6940,6967,6967,6967,6658,6658,6658
"Cadantine seed",1137,1137,1122,1122,1122,1088,1088,1088
"Cadava berries",1921,1921,1966,1966,1966,1966,1966,1966
"Cadavaberry parasol",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Cadavaberry seed",118,118,118,118,118,119,119,119
"Cadmium red",3854,3854,4137,4137,4237,4301,4301,4301
"Cake",269,269,271,271,275,280,280,280
"Cake tin",101,98,95,95,95,94,94,94
"Call to Arms scroll",511,511,511,511,511,511,511,511
"Caller of the Sea token",14900,14900,16700,16700,19700,23000,23000,23000
"Calquat fruit",370,370,363,363,363,363,363,363
"Calquat keg",91,91,95,95,95,95,95,95
"Calquat tree seed",393,393,425,425,447,488,488,488
"Camel staff",44100000,44100000,42800000,42800000,42800000,42800000,42800000,42800000
"Camelot teleport",3667,3667,3508,3508,3508,3411,3411,3411
"Camouflaged jadinko (unc...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Candle lantern",149,149,3405,3405,3405,3405,3405,3405
"Cannibal jadinko (unchec...",2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06
"Cannon barrels",227500,227500,227500,227500,227500,229900,229900,229900
"Cannon base",210600,210600,209800,209800,209800,209800,209800,209800
"Cannon furnace",207600,207600,207600,207600,207600,207600,207600,207600
"Cannon stand",209000,209000,207800,207800,207800,207800,207800,207800
"Cannonball",551,548,512,512,497,485,485,485
"Cannonball cabbage",1287,1287,1287,1287,1287,1287,1287,1287
"Cape",631,631,358,358,358,358,358,358
"Carambola",5755,5519,5326,5326,5326,5326,5326,5326
"Carambola seed",98200,96200,89000,89000,85000,78500,78500,78500
"Carapace",704,704,704,704,704,704,704,704
"Carapace boots",842,842,842,842,842,822,822,822
"Carapace gloves",836,836,836,836,836,836,836,836
"Carapace helm",1379,1379,1379,1379,1379,1362,1362,1362
"Carapace legs",1804,1804,1804,1804,1804,1804,1804,1804
"Carapace shield",2522,2522,2522,2522,2522,2449,2449,2449
"Carapace torso",1984,1984,1984,1984,1984,1950,1950,1950
"Carnivorous chinchompa (...",110800,110800,113300,113300,113300,110300,110300,110300
"Carrallanger teleport",3289,3289,3289,3289,3289,3289,3289,3289
"Carrion jadinko (uncheck...",2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000
"Carrot lance token",335300,335300,335300,335300,335300,335300,335300,335300
"Carrying steins resting ...",36300,36300,36300,36300,36300,36300,36300,36300
"Carved evil turnip",3242,3242,3242,3242,3242,3242,3242,3242
"Carved oak bench",14,14,14,14,14,14,14,14
"Carved oak magic wardrob...",17,17,17,17,17,17,17,17
"Carved oak table",14,14,15,15,15,15,15,15
"Carved teak bench",24,24,24,24,24,24,24,24
"Carved teak magic wardro...",85,85,80,80,80,80,80,80
"Carved teak table",315,315,315,315,315,315,315,315
"Casket",747,747,746,746,746,743,743,743
"Casket-salvaging scrimsh...",196300,196300,196300,196300,196300,196300,196300,196300
"Castle wars brace (1)",4970,4970,4970,4970,4970,4970,4970,4970
"Castle wars brace (3)",1728,1728,1728,1728,1728,1728,1728,1728
"Cat mask",892600,892600,892600,892600,892600,892600,892600,892600
"Cat staff",741500,741500,777800,777800,777800,816200,816200,816200
"Catfish",87,86,86,86,86,86,86,86
"Cave eel",218,218,218,218,218,218,218,218
"Cave goblin wire",4643,4643,4643,4643,4643,4643,4643,4643
"Cavefish",2728,2728,2633,2633,2633,2567,2567,2567
"Cavern of tainted memori...",441900,441900,441900,441900,441900,441900,441900,441900
"Caviar",478,478,478,478,478,478,478,478
"Celestial handwraps",299100,299100,301600,301600,301600,306700,306700,306700
"Cerberus boots token",120300,120300,118500,118500,118500,118500,118500,118500
"Cerberus bow token",150300,150300,150300,150300,150300,150300,150300,150300
"Cerberus breastplate tok...",335700,335700,335700,335700,335700,335700,335700,335700
"Cerberus claws token",65800,65800,65800,65800,65900,65900,65900,65900
"Cerberus faulds token",237800,237800,237800,237800,237800,237800,237800,237800
"Cerberus gloves token",110200,110200,110200,110200,110200,110200,110200,110200
"Cerberus helmet token",233300,233300,233300,233300,233300,233300,233300,233300
"Cerberus pet token",6200000,6200000,6200000,6200000,6200000,6200000,6200000,6200000
"Cerberus staff token",145300,145300,145300,145300,145300,145300,145300,145300
"Challenge gem",409500,415800,415800,415800,415800,415800,415800,415800
"Chaos body",10400,10400,10400,10400,10400,10400,10400,10400
"Chaos boots",5217,5217,5217,5217,5217,5217,5217,5217
"Chaos gloves",11300,11300,11300,11300,11300,11300,11300,11300
"Chaos helmet",6035,6035,6035,6035,6035,6035,6035,6035
"Chaos rune",164,161,154,154,149,142,142,142
"Chaos shield",54800,54800,54800,54800,54800,54800,54800,54800
"Chaos talisman",1992,1992,1907,1907,1907,1914,1914,1914
"Chaos tiara",1921,1921,1921,1921,1921,1921,1921,1921
"Chaotic brimstone",4764,4764,4846,4846,5056,5024,5024,5024
"Charcoal",822,822,851,851,872,889,889,889
"Chargebow",1013,1013,982,982,1004,1004,1004,1004
"Charming potion (1)",1303,1303,1303,1303,1303,1303,1303,1303
"Charming potion (2)",2715,2715,2715,2715,2715,2715,2715,2715
"Charming potion (3)",2666,2666,2549,2549,2549,2549,2549,2549
"Charming potion (4)",3669,3524,3524,3524,3524,3524,3524,3524
"Charming potion flask (6...",15800,15800,15800,15800,15800,15800,15800,15800
"Cheese",256,254,254,254,255,255,255,255
"Cheese Feast scroll",149,149,149,149,149,149,149,149
"Cheese+tom batta",426,426,426,426,426,426,426,426
"Cheesecake",474,474,487,487,487,487,487,487
"Chef's delight",42600,42600,6703,6703,6925,6925,6925,6925
"Chef's delight (1)",5606,5606,5606,5606,5606,5606,5606,5606
"Chef's delight (2)",7539,7539,7539,7539,7539,7539,7539,7539
"Chef's delight (3)",11100,11100,11100,11100,11100,11100,11100,11100
"Chef's delight (4)",25000,25000,25000,25000,25000,25000,25000,25000
"Chef's delight (m)",28300,28300,28300,28300,28300,28300,28300,28300
"Chef's delight (m1)",21900,21900,21900,21900,21900,21900,21900,21900
"Chef's delight (m2)",37000,37000,37000,37000,37000,37000,37000,37000
"Chef's delight (m3)",41000,41000,41000,41000,41000,41000,41000,41000
"Chef's delight (m4)",117400,117400,117400,117400,117400,117400,117400,117400
"Chef's hat",964,964,931,931,908,910,910,910
"Chest of Seasons",27800000,27800000,27800000,27800000,27800000,27800000,27800000,27800000
"Chicken egg (unchecked)",849,886,886,886,886,886,886,886
"Chilli con carne",319,319,319,319,319,319,319,319
"Chilli potato",218,218,218,218,218,229,229,229
"Chinchompa",445,452,464,464,474,474,474,474
"Chinchompa residue",142,140,134,134,132,123,123,123
"Chisel",83,83,85,85,85,84,84,84
"Chitin scraps",102,102,102,102,97,97,97,97
"Choc ice",2168,2168,2168,2168,2168,2168,2168,2168
"Chocchip crunchies",4068,4068,4068,4068,4068,4068,4068,4068
"Chocolate bar",453,455,455,455,455,436,436,436
"Chocolate bomb",1618,1618,1618,1618,1618,1618,1618,1618
"Chocolate cake",819,819,784,784,770,781,781,781
"Chocolate cheesecake",231,231,231,231,231,231,231,231
"Chocolate cow (unchecked...",150600,150600,145000,145000,145000,140100,140100,140100
"Chocolate cream cheese",49,49,49,49,49,49,49,49
"Chocolate dust",717,717,705,705,705,669,669,669
"Chocolate hair head toke...",328600,328600,328600,328600,328600,328600,328600,328600
"Chocolate Saturday",2816,2816,2945,2945,2945,2945,2945,2945
"Chocolate slice",27,27,27,27,27,26,26,26
"Chopped garlic",56,56,56,56,56,56,56,56
"Chopped onion",1939,1912,1912,1912,1912,1912,1912,1912
"Chopped tomato",157,157,157,157,157,157,157,157
"Chopped tuna",808,808,808,808,808,808,808,808
"Christmas cracker",2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09
"Christmas jumper token (...",356900,356900,4900000,4900000,4900000,4900000,4900000,4900000
"Christmas lootbeam token...",2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000
"Christmas pudding balloo...",792400,792400,792400,792400,792400,792400,792400,792400
"Christmas scythe",1e+09,1e+09,1e+09,1e+09,1.1e+09,1.1e+09,1.1e+09,1.1e+09
"Christmas tree cape toke...",1700000,1700000,1800000,1800000,1800000,1800000,1800000,1800000
"Christmas tree hat",84200000,84200000,88200000,88200000,88200000,9.7e+07,9.7e+07,9.7e+07
"Christmas tree kite",1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000
"Chronotes",218,220,225,225,229,236,236,236
"Cider",11100,11100,11100,11100,11000,11000,11000,11000
"Cider (1)",8474,8474,8474,8474,8474,8474,8474,8474
"Cider (2)",11600,11600,11600,11600,11600,11600,11600,11600
"Cider (3)",14500,14500,14500,14500,14500,14500,14500,14500
"Cider (4)",24500,24500,24500,24500,24500,24500,24500,24500
"Cider (m1)",3074,3074,3074,3074,3074,3074,3074,3074
"Cider (m2)",5845,5845,5845,5845,5845,5845,5845,5845
"Cider (m3)",8724,8724,8724,8724,8724,8724,8724,8724
"Cider (m4)",5193,5193,5193,5193,5193,5193,5193,5193
"Cider barrel",12000,12000,12000,12000,12000,12000,12000,12000
"Ciku",4986,4986,4986,4986,4986,4986,4986,4986
"Ciku seed",289000,289000,289000,289000,289000,297300,297300,297300
"Cinderbane gloves",52600000,52600000,5.4e+07,5.4e+07,54900000,56800000,56800000,56800000
"Circular hide",8138,8138,8138,8138,8138,8138,8138,8138
"Citizen shoes",794,794,794,794,794,794,794,794
"Citizen top",1283,1283,1283,1283,1283,1283,1283,1283
"Citizen trousers",1391,1391,1391,1391,1391,1391,1391,1391
"Clawdia claws token",2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000
"Clawdia wings token",109400,109400,109400,109400,109400,109400,109400,109400
"Clay",370,355,358,358,358,376,376,376
"Clay ring",442,442,423,423,423,423,423,423
"Clay ring (unfired)",11,11,11,11,12,12,12,12
"Clean arbuck",10100,10100,10200,10200,9897,10000,10000,10000
"Clean avantoe",1311,1256,1211,1211,1176,1204,1204,1204
"Clean bloodweed",24100,25300,26500,26500,26500,27700,27700,27700
"Clean cadantine",5982,5982,5862,5862,5568,5069,5069,5069
"Clean dwarf weed",14800,14600,13300,13300,12600,11400,11400,11400
"Clean fellstalk",8297,8468,8169,8169,7772,7264,7264,7264
"Clean guam",809,816,811,811,807,778,778,778
"Clean harralander",972,972,923,923,925,961,961,961
"Clean irit",5070,5070,5225,5225,4963,4525,4525,4525
"Clean kwuarm",10000,9908,9805,9805,9687,9363,9363,9363
"Clean lantadyme",8078,8027,7485,7485,7182,6826,6826,6826
"Clean marrentill",2355,2355,2434,2434,2543,2744,2744,2744
"Clean ranarr",2086,2086,2058,2058,2060,2089,2089,2089
"Clean snapdragon",1913,1913,1907,1907,1907,1913,1913,1913
"Clean spirit weed",20500,20500,21200,21200,20800,20500,20500,20500
"Clean tarromin",122,122,123,123,125,126,126,126
"Clean toadflax",11200,11200,10600,10600,10200,9649,9649,9649
"Clean torstol",5811,5626,5338,5338,5091,4848,4848,4848
"Clean wergali",4682,4682,4682,4682,4811,4811,4811,4811
"Cleaning cloth",86,86,86,86,86,86,86,86
"Cleaver",19000,19000,19000,19000,19000,19000,19000,19000
"Clingy mole",11600,11500,11500,11500,11500,11500,11500,11500
"Cloak of Seasons",82200000,82200000,82200000,82200000,82200000,82200000,82200000,82200000
"Clocktower Teleport",230,230,239,239,239,240,240,240
"Clockwork",3184,3184,3191,3191,3219,3351,3351,3351
"Clockwork cat",7970,7970,7970,7970,7970,7970,7970,7970
"Clover 2h sword token",589100,589100,589100,589100,589100,589100,589100,589100
"Clover axe token",120100,120100,120100,120100,120100,120100,120100,120100
"Clover crossbow token",119500,119500,119500,119500,119500,119500,119500,119500
"Clover parasol",3e+07,3e+07,3e+07,3e+07,3e+07,3e+07,3e+07,3e+07
"Clover shieldbow token",89100,89100,89100,89100,89100,89100,89100,89100
"Clover staff token",152300,152300,152300,152300,152300,152300,152300,152300
"Clover wand token",116600,116600,116600,116600,116600,116600,116600,116600
"Coal",108,108,108,108,107,107,107,107
"Coal stone spirit",21,20,20,20,20,21,21,21
"Cobalt blue",4421,4421,4809,4809,5049,5068,5068,5068
"Cobalt chinchompa (unche...",148100,148100,150600,150600,150600,150600,150600,150600
"Cobalt skillchompa",692,660,642,642,642,626,626,626
"Cockatrice egg",8098,7739,7384,7384,7384,7058,7058,7058
"Cocktail flare rest over...",794500,794500,794500,794500,794500,794500,794500,794500
"Coconut",7578,7366,7121,7121,7036,6745,6745,6745
"Coconut milk",8526,8526,8526,8526,8526,8530,8530,8530
"Coconut parasol",1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000
"Coconut shell",126,126,132,132,132,132,132,132
"Cod",88,88,88,88,88,91,91,91
"Columbarium ring (new)",2618,2618,2618,2618,2618,2618,2618,2618
"Combat bracelet",11200,11200,11200,11200,11200,11200,11200,11200
"Combat bracelet (4)",12900,12900,12900,12900,13300,13300,13300,13300
"Combat flask (6)",11100,11100,11100,11100,11100,11100,11100,11100
"Combat hood 0",2368,2368,2368,2368,2368,2368,2368,2368
"Combat mix (1)",336,336,336,336,336,336,336,336
"Combat mix (2)",322,322,322,322,322,322,322,322
"Combat potion (1)",80,80,80,80,80,80,80,80
"Combat potion (2)",198,198,198,198,198,198,198,198
"Combat potion (3)",392,392,392,392,392,392,392,392
"Combat potion (4)",744,744,744,744,744,744,744,744
"Combat robe bottom 0",18600,18600,18600,18600,18600,18600,18600,18600
"Combat robe top 0",44200,44200,44200,44200,44200,44200,44200,44200
"Common brown rabbit (unc...",2564,2564,2586,2586,2679,2659,2659,2659
"Common green frog (unche...",24900,24900,23700,23700,23700,23700,23700,23700
"Common jadinko (unchecke...",4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000
"Common kebbit fur",15,15,14,14,14,13,13,13
"Common white hen (unchec...",5740,5740,5740,5740,5632,5632,5632,5632
"Comp ogre bow",4073,4073,4073,4073,4073,4073,4073,4073
"Compost",176,176,176,176,172,171,171,171
"Compost mound pouch",877,877,892,892,892,892,892,892
"Compost potion (1)",2407,2407,2407,2407,2407,2407,2407,2407
"Compost potion (2)",4276,4276,4276,4276,4276,4276,4276,4276
"Compost potion (3)",3930,3930,3930,3930,3930,3930,3930,3930
"Compost potion (4)",8543,8543,8543,8543,8543,8889,8889,8889
"Concentrated alloy bar",60100,60100,58300,58300,58000,57600,57600,57600
"Conga dance override tok...",4700000,4700000,4700000,4700000,4700000,4700000,4700000,4700000
"Conga eel whip token",12300,12300,12300,12300,12300,12300,12300,12300
"Congealed blood",61,61,62,62,64,66,66,66
"Contact juggling resting...",42600,42600,42600,42600,42600,42600,42600,42600
"Cooked chicken",74,74,74,74,72,72,72,72
"Cooked chompy",305,305,312,312,312,312,312,312
"Cooked crab meat",328,328,328,328,328,328,328,328
"Cooked eeligator",1126,1126,1127,1127,1127,1126,1126,1126
"Cooked jubbly",1598,1598,1598,1598,1598,1598,1598,1598
"Cooked karambwan",886,924,924,924,924,924,924,924
"Cooked meat",192,192,185,185,185,177,177,177
"Cooked oomlie wrap",10200,10200,10200,10200,10200,10200,10200,10200
"Cooked rabbit",54,54,53,53,53,50,50,50
"Cooked slimy eel",231,231,231,231,231,231,231,231
"Cooked sweetcorn",50,50,50,50,49,49,49,49
"Cooked undead chicken",70,70,70,70,70,70,70,70
"Cooked undead meat",74,74,74,74,74,74,74,74
"Cooking apple",432,432,435,435,435,441,441,441
"Cooking flask (6)",3003,3003,3003,3003,3003,3003,3003,3003
"Cooking potion (1)",261,261,261,261,261,261,261,261
"Cooking potion (2)",537,537,537,537,537,537,537,537
"Cooking potion (3)",955,955,922,922,922,922,922,922
"Cooking potion (4)",1103,1103,1093,1093,1093,1093,1093,1093
"Copper ore",181,181,173,173,166,175,175,175
"Copper stone spirit",122,122,115,115,115,109,109,109
"Coral dagger token",14900,14900,14900,14900,14900,14900,14900,14900
"Coral sword token",55100,55100,55100,55100,55100,55100,55100,55100
"Coraxatrice egg",4909,4909,4909,4909,4909,4909,4909,4909
"Corbicula gelum (uncheck...",1089,1089,1089,1089,1089,1089,1089,1089
"Corbicula malum (uncheck...",1092,1092,1092,1092,1092,1092,1092,1092
"Corbicula rex (unchecked...",5800000,5800000,5800000,5800000,5800000,5800000,5800000,5800000
"Corbicula rex meat",4159,4159,4159,4159,4159,4159,4159,4159
"Corpse spider egg (unche...",262600,262600,262600,262600,262600,262600,262600,262600
"Corrupt dragon battleaxe...",71200,71200,71200,71200,71200,69900,69900,69900
"Corrupt dragon chainbody...",83700,83700,83700,83700,83700,83700,83700,83700
"Corrupt dragon dagger",31900,31900,31900,31900,31900,31900,31900,31900
"Corrupt dragon helm",59900,59900,59900,59900,59900,59900,59900,59900
"Corrupt dragon longsword...",58600,58600,58600,58600,58600,58600,58600,58600
"Corrupt dragon mace",27900,27900,27900,27900,27900,27900,27900,27900
"Corrupt dragon platelegs...",81300,81300,81300,81300,81300,81300,81300,81300
"Corrupt dragon plateskir...",68200,68200,68200,68200,68200,68200,68200,68200
"Corrupt dragon scimitar",59100,59100,59100,59100,59100,59100,59100,59100
"Corrupt dragon spear",200500,200500,200500,200500,200500,200500,200500,200500
"Corrupt dragon sq shield...",68300,68300,68300,68300,68300,68300,68300,68300
"Corrupt Morrigan's coif",17800,17800,17800,17800,17800,17800,17800,17800
"Corrupt Morrigan's javel...",1726,1726,1726,1726,1726,1726,1726,1726
"Corrupt Morrigan's leath...",72500,72500,69400,69400,69400,69400,69400,69400
"Corrupt Morrigan's throw...",1487,1487,1487,1487,1487,1487,1487,1487
"Corrupt Statius's full h...",51200,51200,51200,51200,51200,51200,51200,51200
"Corrupt statius's plateb...",104200,104200,99700,99700,99700,99700,99700,99700
"Corrupt Statius's platel...",71700,71700,71700,71700,71700,71700,71700,71700
"Corrupt Statius's warham...",805400,805400,805400,805400,805400,805400,805400,805400
"Corrupt Vesta's chainbod...",71800,71800,71800,71800,72600,72600,72600,72600
"Corrupt Vesta's longswor...",748400,748400,748400,748400,748400,748400,748400,748400
"Corrupt Vesta's plateski...",72100,72100,72100,72100,72100,72100,72100,72100
"Corrupt Vesta's spear",717100,717100,717100,717100,717100,717100,717100,717100
"Corrupt Zuriel's hood",24400,24400,24400,24400,24400,24400,24400,24400
"Corrupt Zuriel's robe bo...",82700,80900,80900,80900,80900,80900,80900,80900
"Corrupt Zuriel's robe to...",83600,83600,83600,83600,83600,83600,83600,83600
"Corrupt Zuriel's staff",72800,72800,72800,72800,72800,72800,72800,72800
"Corrupted gem",125700,120400,120400,120400,120400,117500,117500,117500
"Corrupted magic logs",376,382,380,380,380,384,384,384
"Cosmic body",12500,12500,12500,12500,12500,12500,12500,12500
"Cosmic boots",38400,38400,38400,38400,38400,38400,38400,38400
"Cosmic gloves",4176,4176,4176,4176,4176,4176,4176,4176
"Cosmic helmet",3216,3216,3216,3216,3216,3216,3216,3216
"Cosmic rune",355,358,365,365,373,395,395,395
"Cosmic shield",7238,7238,7238,7238,7238,7238,7238,7238
"Cosmic talisman",1130,1092,1054,1054,1010,965,965,965
"Cosmic tiara",398,398,398,398,398,398,398,398
"Costume-skipping ticket",181400,181400,195700,195700,200700,213000,213000,213000
"Cottontail knight helmet...",330300,330300,330300,330300,330300,330300,330300,330300
"Cottontail knight lower ...",683100,683100,683100,683100,683100,683100,683100,683100
"Cottontail knight upper ...",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Cowhide",610,610,614,614,599,606,606,606
"Crab hat (tradeable)",2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000
"Cracked cooking urn (nr)...",961,961,961,961,961,961,961,961
"Cracked divination urn (...",1056,1056,1056,1056,1056,1056,1056,1056
"Cracked farming urn (nr)...",1037,1037,1037,1037,1037,1037,1037,1037
"Cracked fishing urn (nr)...",998,998,998,998,998,998,998,998
"Cracked hunter urn (nr)",738,738,738,738,738,738,738,738
"Cracked mining urn (nr)",892,892,892,892,892,892,892,892
"Cracked runecrafting urn...",1042,1042,1042,1042,1042,1042,1042,1042
"Cracked smelting urn (nr...",942,942,942,942,942,942,942,942
"Cracked woodcutting urn ...",961,961,961,961,961,961,961,961
"Crafting flask (6)",13500,13500,13500,13500,14100,14100,14100,14100
"Crafting potion (1)",1165,1165,1165,1165,1165,1165,1165,1165
"Crafting potion (2)",1618,1618,1618,1618,1618,1618,1618,1618
"Crafting potion (3)",1859,1859,1900,1900,1900,1900,1900,1900
"Crafting potion (4)",3194,3194,3291,3291,3291,3291,3291,3291
"Crayfish",31,30,30,30,30,30,30,30
"Crayfish cage",316,325,325,325,325,325,325,325
"Cream boots",1013,1013,1013,1013,1013,1013,1013,1013
"Cream cheese",75,75,75,75,75,75,75,75
"Cream hat",417,417,417,417,417,417,417,417
"Cream robe bottoms",457,457,457,457,457,457,457,457
"Cream robe top",472,472,472,472,472,472,472,472
"Crest of Seren",21300000,21300000,21300000,21300000,21300000,20600000,20600000,20600000
"Crest of seren shard",110500,110500,110500,110500,110500,110500,110500,110500
"Crest of Sliske",1.4e+07,1.4e+07,1.4e+07,1.4e+07,1.4e+07,13700000,13700000,13700000
"Crest of sliske shard",88700,88700,88700,88700,88700,88700,88700,88700
"Crest of Zamorak",14200000,14200000,14200000,14200000,13800000,13800000,13800000,13800000
"Crest of zamorak shard",70000,70000,70000,70000,70000,70000,70000,70000
"Crest of Zaros",38500000,38500000,37700000,37700000,37700000,36100000,36100000,36100000
"Crest of zaros shard",134900,134900,134900,134900,134900,134900,134900,134900
"Crimson chinchompa (unch...",140600,140600,140600,140600,146200,146200,146200,146200
"Crimson skillchompa",951,951,916,916,883,869,869,869
"Crit-i-Kal scroll",18600,18600,18600,18600,18600,18600,18600,18600
"Crossbow",1949,1949,1949,1949,1949,1949,1949,1949
"Crossbow string",1738,1738,1730,1730,1730,1730,1730,1730
"Crown of Seasons",17400000,17400000,17400000,17400000,17400000,18200000,18200000,18200000
"Crude wooden chair",40,40,40,40,40,40,40,40
"Crushed dragonstone",6186,6186,6186,6186,6186,6186,6186,6186
"Crushed nest",8650,8808,8087,8087,7682,6932,6932,6932
"Crushing Claw scroll",223,223,223,223,223,223,223,223
"Crustacea armour token",70500,87900,135400,135400,167700,205700,205700,205700
"Crusty companion pet tok...",272300,272300,272300,272300,272300,272300,272300,272300
"Crypt scythe token",773000,773000,773000,773000,773000,773000,773000,773000
"Crypt shieldbow token",37900,37900,37900,37900,37900,37900,37900,37900
"Crypt staff token",63400,63400,63400,63400,63400,63400,63400,63400
"Crystal armour seed",6025,6025,6083,6083,6083,6149,6149,6149
"Crystal ball token",7140,7140,7140,7140,7140,7140,7140,7140
"Crystal body",576600,576600,576600,576600,576600,576600,576600,576600
"Crystal boots",296400,296400,296400,296400,296300,296300,296300,296300
"Crystal bow",277300,277300,277200,277200,277200,278400,278400,278400
"Crystal chakram",207900,207900,207900,207900,207900,207900,207900,207900
"Crystal chinchompa (unch...",98600,98600,98000,98000,100100,102100,102100,102100
"Crystal dagger",254600,254600,254600,254600,254600,254600,254600,254600
"Crystal deflector",192200,192200,192200,192200,192200,192200,192200,192200
"Crystal flask",3661,3571,3351,3351,3280,3201,3201,3201
"Crystal gloves",296000,296000,296000,296000,296000,296000,296000,296000
"Crystal halberd",277300,277300,275600,275600,275600,267500,267500,267500
"Crystal helm",329100,329100,329100,329100,330400,330400,330400,330400
"Crystal impling jar",686600,686600,702300,702300,702300,702300,702300,702300
"Crystal key",21300,20800,20200,20200,20400,20700,20700,20700
"Crystal legs",580800,580800,580800,580800,580800,578800,578800,578800
"Crystal orb",235200,235200,235200,235200,235200,236900,236900,236900
"Crystal shield",188800,188800,192400,192400,192400,192400,192400,192400
"Crystal skillchompa",856,842,876,876,903,970,970,970
"Crystal staff",280500,280500,284300,284300,284300,284300,284300,284300
"Crystal tool seed",69400,69400,68300,68300,66500,66700,66700,66700
"Crystal tool siphon",761100,761100,745200,745200,745200,745200,745200,745200
"Crystal wand",228800,228800,227200,227200,227200,227200,227200,227200
"Crystal ward",192700,192700,192700,192700,192700,196800,196800,196800
"Crystal weapon seed",46500,46500,45900,45900,45900,46900,46900,46900
"Cup of hot water",268,268,268,268,268,268,268,268
"Cup of tea",304,304,318,318,318,323,323,323
"Cup of water",61,61,61,61,61,61,61,61
"Cured yak-hide",941,941,941,941,941,941,941,941
"Curry",249,249,262,262,262,262,262,262
"Curry leaf",3053,3053,3047,3047,2907,2682,2682,2682
"Curry tree seed",237,237,239,239,239,240,240,240
"Cursed amascut sand",5600000,5600000,5600000,5600000,5600000,5400000,5400000,5400000
"Cyclopean helmet",4481,4481,4481,4481,4481,4481,4481,4481
"Daemoncap zygomite (unch...",249900,249900,249900,249900,243700,243700,243700,243700
"Dagannoth bones",6170,6170,6284,6284,6284,6281,6281,6281
"Dagannoth hide",9475,9642,9078,9078,8675,7962,7962,7962
"Dagannoth Kings teleport...",6921,6921,6787,6787,6787,7036,7036,7036
"Dagon'hai hat",415100,415100,428200,428200,428200,428200,428200,428200
"Dagon'hai robe bottom",50900,50900,49600,49600,49600,49600,49600,49600
"Dagon'hai robe top",84800,84800,84800,84800,84800,84800,84800,84800
"Dagon'hai robes set",677500,677500,677500,677500,677500,696200,696200,696200
"Dancer outfit token",3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000
"Dareeyak teleport",2435,2435,2435,2435,2435,2435,2435,2435
"Dark animica",5387,5387,5296,5296,5105,4898,4898,4898
"Dark animica stone spiri...",1665,1705,1680,1680,1649,1590,1590,1590
"Dark arrow",49,49,52,52,52,53,53,53
"Dark arrowheads",330,330,346,346,364,362,362,362
"Dark bow",87900,87900,95200,95200,99400,109400,109400,109400
"Dark cavalier",778100,778100,816600,816600,816600,856600,856600,856600
"Dark kebbit fur",96,96,100,100,100,100,100,100
"Dark mystic boots",216800,216800,216800,216800,216800,223300,223300,223300
"Dark mystic gloves",8819,8819,8819,8819,8819,8855,8855,8855
"Dark mystic hat",107400,107400,103300,103300,103300,103300,103300,103300
"Dark mystic robe bottom",9068,9068,9059,9059,9059,9027,9027,9027
"Dark mystic robe top",9033,8831,8889,8889,8889,8675,8675,8675
"Dark mystic robes set",531700,531700,552700,552700,552700,552700,552700,552700
"Dashing kebbit fur",146,146,146,146,146,146,146,146
"Davy kebbit hat",633,633,633,633,633,633,633,633
"Deacon demon pouch",11800,11800,11800,11800,11800,11800,11800,11800
"Deadly Claw scroll",421,421,421,421,421,421,421,421
"Death From Above scroll",4540,4540,4510,4510,4574,4515,4515,4515
